id задачи|Дата создания|Платформа|Способ связи|Кол-во откликов|Кол-во матчей
193590|2022-07-31T00:44:51.154735|admins|через телефон|5|0
193589|2022-07-31T00:43:19.070588|admins|через телефон|0|0
193588|2022-07-31T00:39:44.804743|admins|через телефон|0|0
193587|2022-07-31T00:37:29.213744|admins|через телефон|3|0
193586|2022-07-31T00:37:20.080541|admins|через телефон|3|0
193585|2022-07-31T00:28:48.909984|admins|через телефон|4|0
193584|2022-07-31T00:26:22.597084|admins|через телефон|5|0
193583|2022-07-31T00:21:59.635793|admins|через телефон|1|0
193582|2022-07-31T00:21:23.979853|admins|через телефон|5|0
193581|2022-07-31T00:20:53.384641|admins|через телефон|1|0
193580|2022-07-31T00:20:35.272877|admins|через телефон|2|0
193579|2022-07-31T00:20:02.349441|android|через телефон|5|0
193578|2022-07-31T00:18:57.795278|admins|через телефон|4|0
193577|2022-07-31T00:17:45.041576|admins|через телефон|2|0
193576|2022-07-31T00:15:58.587993|admins|через телефон|4|0
193575|2022-07-31T00:14:55.750071|admins|через телефон|3|0
193574|2022-07-31T00:12:26.730306|admins|через телефон|1|0
193573|2022-07-31T00:09:29.465639|admins|через телефон|3|0
193572|2022-07-31T00:08:40.771534|admins|через телефон|1|0
193571|2022-07-31T00:07:38.552181|admins|через телефон|3|0
193570|2022-07-31T00:03:21.665416|admins|через телефон|1|0
193569|2022-07-31T00:01:44.019534|admins|через телефон|2|0
193568|2022-07-30T23:50:35.532565|admins|через телефон|5|0
193567|2022-07-30T23:47:10.313670|admins|через телефон|0|0
193566|2022-07-30T23:42:53.824062|admins|через телефон|0|0
193565|2022-07-30T23:42:15.603209|admins|через телефон|3|0
193564|2022-07-30T23:39:57.878780|admins|через телефон|0|0
193563|2022-07-30T23:39:07.235482|admins|через телефон|0|0
193562|2022-07-30T23:36:35.498967|admins|через телефон|3|0
193561|2022-07-30T23:33:43.486379|admins|через телефон|3|0
193560|2022-07-30T23:32:30.046564|admins|через телефон|2|0
193559|2022-07-30T23:31:30.640937|admins|через телефон|0|0
193558|2022-07-30T23:29:33.413538|admins|через телефон|0|0
193557|2022-07-30T23:27:53.679056|admins|через телефон|1|0
193556|2022-07-30T23:27:17.238207|admins|через телефон|0|0
193555|2022-07-30T23:26:05.632055|admins|через телефон|1|0
193554|2022-07-30T23:25:46.357707|admins|через телефон|2|0
193553|2022-07-30T23:25:32.946140|admins|через телефон|1|0
193552|2022-07-30T23:23:28.865237|admins|через телефон|0|0
193551|2022-07-30T23:20:26.588044|admins|через телефон|1|0
193550|2022-07-30T23:19:51.401958|admins|через телефон|0|0
193549|2022-07-30T23:19:29.572810|admins|через телефон|1|0
193548|2022-07-30T23:18:26.627350|admins|через телефон|1|0
193547|2022-07-30T23:14:05.698047|admins|через телефон|1|0
193546|2022-07-30T23:10:22.146493|admins|через телефон|2|0
193545|2022-07-30T23:09:41.256483|admins|через телефон|2|0
193544|2022-07-30T23:09:33.285688|admins|через телефон|3|0
193543|2022-07-30T23:06:59.476711|admins|через телефон|3|0
193542|2022-07-30T23:03:41.389557|admins|через телефон|2|0
193541|2022-07-30T23:01:20.327499|admins|через телефон|0|0
193540|2022-07-30T22:59:28.582586|admins|через телефон|0|0
193539|2022-07-30T22:57:49.203740|admins|через телефон|1|0
193538|2022-07-30T22:55:19.942735|admins|через телефон|3|0
193537|2022-07-30T22:50:05.706986|admins|через телефон|3|0
193536|2022-07-30T22:47:58.573517|admins|через телефон|2|0
193535|2022-07-30T22:42:21.406301|admins|через телефон|3|0
193534|2022-07-30T22:30:09.540795|admins|через телефон|0|0
193533|2022-07-30T22:26:18.359387|admins|через телефон|1|0
193532|2022-07-30T22:19:48.555997|admins|через телефон|2|0
193531|2022-07-30T22:10:55.628107|admins|через телефон|1|0
193530|2022-07-30T22:09:37.583210|admins|через телефон|3|0
193529|2022-07-30T22:08:12.127097|admins|через телефон|4|0
193528|2022-07-30T21:53:17.435535|admins|через телефон|4|0
193527|2022-07-30T21:49:59.869305|admins|через телефон|5|0
193526|2022-07-30T21:49:42.123067|admins|через телефон|3|0
193525|2022-07-30T21:47:42.060638|admins|через телефон|0|0
193524|2022-07-30T21:46:50.617620|admins|через телефон|0|0
193523|2022-07-30T21:46:35.680256|admins|через телефон|2|0
193522|2022-07-30T21:46:07.811854|admins|через телефон|4|0
193521|2022-07-30T21:46:01.627271|admins|через телефон|0|0
193520|2022-07-30T21:45:43.719728|admins|через телефон|1|0
193519|2022-07-30T21:44:44.100840|admins|через телефон|1|0
193518|2022-07-30T21:43:56.355991|admins|через телефон|2|0
193517|2022-07-30T21:43:42.383250|admins|через телефон|2|0
193516|2022-07-30T21:42:06.563612|admins|через телефон|1|0
193515|2022-07-30T21:39:27.710015|admins|через телефон|1|0
193514|2022-07-30T21:36:28.847948|admins|через телефон|2|0
193513|2022-07-30T21:35:35.317178|admins|через телефон|5|0
193512|2022-07-30T21:34:14.816314|admins|через телефон|4|0
193511|2022-07-30T21:33:42.296640|admins|через телефон|1|0
193510|2022-07-30T21:33:33.206614|admins|через телефон|5|0
193509|2022-07-30T21:32:37.197533|admins|через телефон|2|0
193508|2022-07-30T21:31:44.224584|admins|через телефон|0|0
193507|2022-07-30T21:30:43.920118|admins|через телефон|3|0
193506|2022-07-30T21:30:07.539791|admins|через телефон|0|0
193505|2022-07-30T21:29:17.962400|admins|через телефон|3|0
193504|2022-07-30T21:27:48.843240|admins|через телефон|1|0
193503|2022-07-30T21:27:35.652583|admins|через телефон|0|0
193502|2022-07-30T21:25:58.064481|admins|через телефон|0|0
193501|2022-07-30T21:23:02.647931|admins|через телефон|1|0
193500|2022-07-30T21:21:56.783621|admins|через телефон|0|0
193499|2022-07-30T21:21:28.952899|admins|через телефон|1|0
193498|2022-07-30T21:20:24.264113|admins|через телефон|2|0
193497|2022-07-30T21:19:29.073584|admins|через телефон|1|0
193496|2022-07-30T21:19:01.797536|admins|через телефон|1|0
193495|2022-07-30T21:15:43.941377|admins|через телефон|5|0
193494|2022-07-30T21:09:53.545940|admins|через телефон|5|0
